Bz,carrier_detuningsigma,carrier_pts,sidebanddetuning_central,sidebanddetuning_detuningsigma,sidebanddetuning_detuningpts,carrierRabi,sidebandRabi,partitionflag,partitionnumber
100,10,200,1.51,0.5,25,0.001,0.05,1,20
100,10,200,1.51,0.5,25,0.001,0.1,1,20
100,10,200,1.51,0.5,25,0.001,0.5,1,20
100,10,200,1.51,0.5,25,0.001,1.5,1,20
100,10,200,1.51,0.5,25,0.01,0.05,1,20
100,10,200,1.51,0.5,25,0.01,0.1,1,20
100,10,200,1.51,0.5,25,0.01,0.5,1,20
100,10,200,1.51,0.5,25,0.01,1.5,1,20
100,10,200,1.51,0.5,25,0.05,0.05,1,20
100,10,200,1.51,0.5,25,0.05,0.1,1,20
100,10,200,1.51,0.5,25,0.05,0.5,1,20
100,10,200,1.51,0.5,25,0.05,1.5,1,20
100,10,200,1.51,0.5,25,0.13,0.05,1,20
100,10,200,1.51,0.5,25,0.13,0.1,1,20
100,10,200,1.51,0.5,25,0.13,0.5,1,20
100,10,200,1.51,0.5,25,0.13,1.5,1,20
